year,city,GDP,corridor_id,corridor_nm,node_type
"2012",北京市,190247300,KG,Beijing-Guangzhou,core
"2013",北京市,211345800,KG,Beijing-Guangzhou,core
"2014",北京市,229260000,KG,Beijing-Guangzhou,core
"2015",北京市,247791000,KG,Beijing-Guangzhou,core
"2016",北京市,270412000,KG,Beijing-Guangzhou,core
"2017",北京市,298830000,KG,Beijing-Guangzhou,core
"2018",北京市,331059700,KG,Beijing-Guangzhou,core
"2019",北京市,354451300,KG,Beijing-Guangzhou,core
"2020",北京市,385036000,KG,Beijing-Guangzhou,core
"2021",北京市,443507000,KG,Beijing-Guangzhou,core
"2022",北京市,450224000,KG,Beijing-Guangzhou,core
"2012",天津市,90430200,,,
"2013",天津市,99454000,,,
"2014",天津市,106406200,,,
"2015",天津市,108795100,,,
"2016",天津市,114772000,,,
"2017",天津市,124505600,,,
"2018",天津市,133629200,,,
"2019",天津市,140554600,,,
"2020",天津市,140079900,,,
"2021",天津市,156850500,,,
"2022",天津市,161321600,,,
"2012",石家庄市,36009700,KG,Beijing-Guangzhou,core
"2013",石家庄市,38719900,KG,Beijing-Guangzhou,core
"2014",石家庄市,40632501,KG,Beijing-Guangzhou,core
"2015",石家庄市,42636683,KG,Beijing-Guangzhou,core
"2016",石家庄市,46425102,KG,Beijing-Guangzhou,core
"2017",石家庄市,50253300,KG,Beijing-Guangzhou,core
"2018",石家庄市,53750885,KG,Beijing-Guangzhou,core
"2019",石家庄市,58098963,KG,Beijing-Guangzhou,core
"2020",石家庄市,59331681,KG,Beijing-Guangzhou,core
"2021",石家庄市,64903055,KG,Beijing-Guangzhou,core
"2022",石家庄市,70808125,KG,Beijing-Guangzhou,core
"2012",唐山市,47159004,,,
"2013",唐山市,49365981,,,
"2014",唐山市,50855503,,,
"2015",唐山市,51177949,,,
"2016",唐山市,56024580,,,
"2017",唐山市,59169484,,,
"2018",唐山市,63000341,,,
"2019",唐山市,68899894,,,
"2020",唐山市,73508000,,,
"2021",唐山市,84393000,,,
"2022",唐山市,89183000,,,
"2012",秦皇岛市,10831374.44,,,
"2013",秦皇岛市,11157633.23,,,
"2014",秦皇岛市,11463785.66,,,
"2015",秦皇岛市,11925956.31,,,
"2016",秦皇岛市,12529618,,,
"2017",秦皇岛市,14005993,,,
"2018",秦皇岛市,15073259,,,
"2019",秦皇岛市,16120304.2,,,
"2020",秦皇岛市,16704481.58,,,
"2021",秦皇岛市,18437555,,,
"2022",秦皇岛市,19005992,,,
"2012",邯郸市,25672348,KG,Beijing-Guangzhou,middle
"2013",邯郸市,25949425,KG,Beijing-Guangzhou,middle
"2014",邯郸市,26195638,KG,Beijing-Guangzhou,middle
"2015",邯郸市,26393743,KG,Beijing-Guangzhou,middle
"2016",邯郸市,29762614,KG,Beijing-Guangzhou,middle
"2017",邯郸市,31549816,KG,Beijing-Guangzhou,middle
"2018",邯郸市,32592244,KG,Beijing-Guangzhou,middle
"2019",邯郸市,34860371,KG,Beijing-Guangzhou,middle
"2020",邯郸市,36751000,KG,Beijing-Guangzhou,middle
"2021",邯郸市,41995000,KG,Beijing-Guangzhou,middle
"2022",邯郸市,43459000,KG,Beijing-Guangzhou,middle
"2012",邢台市,15320600,KG,Beijing-Guangzhou,middle
"2013",邢台市,16045800,KG,Beijing-Guangzhou,middle
"2014",邢台市,16469400,KG,Beijing-Guangzhou,middle
"2015",邢台市,17647300,KG,Beijing-Guangzhou,middle
"2016",邢台市,19323300,KG,Beijing-Guangzhou,middle
"2017",邢台市,20906200,KG,Beijing-Guangzhou,middle
"2018",邢台市,19475800,KG,Beijing-Guangzhou,middle
"2019",邢台市,21199600,KG,Beijing-Guangzhou,middle
"2020",邢台市,22383000,KG,Beijing-Guangzhou,middle
"2021",邢台市,24945000,KG,Beijing-Guangzhou,middle
"2022",邢台市,25913000,KG,Beijing-Guangzhou,middle
"2012",保定市,27209000,KG,Beijing-Guangzhou,middle
"2013",保定市,29063800,KG,Beijing-Guangzhou,middle
"2014",保定市,30352000,KG,Beijing-Guangzhou,middle
"2015",保定市,33005600,KG,Beijing-Guangzhou,middle
"2016",保定市,34771300,KG,Beijing-Guangzhou,middle
"2017",保定市,34497400,KG,Beijing-Guangzhou,middle
"2018",保定市,35266100,KG,Beijing-Guangzhou,middle
"2019",保定市,37722000,KG,Beijing-Guangzhou,middle
"2020",保定市,39543000,KG,Beijing-Guangzhou,middle
"2021",保定市,44016800,KG,Beijing-Guangzhou,middle
"2022",保定市,46080400,KG,Beijing-Guangzhou,middle
"2012",张家口市,10133724,,,
"2013",张家口市,10841129,,,
"2014",张家口市,11155145,,,
"2015",张家口市,11469164,,,
"2016",张家口市,12561645,,,
"2017",张家口市,13349937,,,
"2018",张家口市,14292855,,,
"2019",张家口市,15510598,,,
"2020",张家口市,15972000,,,
"2021",张家口市,17426000,,,
"2022",张家口市,17903000,,,
"2012",承德市,10369300,,,
"2013",承德市,10815700,,,
"2014",承德市,11389100,,,
"2015",承德市,11477400,,,
"2016",承德市,12863000,,,
"2017",承德市,13246800,,,
"2018",承德市,13760900,,,
"2019",承德市,14710000,,,
"2020",承德市,15340500,,,
"2021",承德市,16970000,,,
"2022",承德市,17802000,,,
"2012",沧州市,24059900,,,
"2013",沧州市,25005600,,,
"2014",沧州市,25760200,,,
"2015",沧州市,26580200,,,
"2016",沧州市,30031000,,,
"2017",沧州市,31731400,,,
"2018",沧州市,32669300,,,
"2019",沧州市,35880000,,,
"2020",沧州市,36998700,,,
"2021",沧州市,41633900,,,
"2022",沧州市,43881700,,,
"2012",廊坊市,16930900,,,
"2013",廊坊市,18033600,,,
"2014",廊坊市,20515600,,,
"2015",廊坊市,24112300,,,
"2016",廊坊市,26350300,,,
"2017",廊坊市,28081600,,,
"2018",廊坊市,30331100,,,
"2019",廊坊市,31960400,,,
"2020",廊坊市,33287000,,,
"2021",廊坊市,36130000,,,
"2022",廊坊市,36309000,,,
"2012",衡水市,10020000,,,
"2013",衡水市,11113000,,,
"2014",衡水市,11769000,,,
"2015",衡水市,12269000,,,
"2016",衡水市,14196100,,,
"2017",衡水市,15231900,,,
"2018",衡水市,13818100,,,
"2019",衡水市,15049300,,,
"2020",衡水市,15655000,,,
"2021",衡水市,17280000,,,
"2022",衡水市,18280000,,,
"2012",太原市,22650700,,,
"2013",太原市,23685400,,,
"2014",太原市,24662500,,,
"2015",太原市,26637600,,,
"2016",太原市,27445100,,,
"2017",太原市,32873400,,,
"2018",太原市,37452300,,,
"2019",太原市,40028300,,,
"2020",太原市,42224100,,,
"2021",太原市,50950900,,,
"2022",太原市,54227200,,,
"2012",大同市,8743000,,,
"2013",大同市,9193000,,,
"2014",大同市,9411000,,,
"2015",大同市,9849800,,,
"2016",大同市,9501000,,,
"2017",大同市,11020600,,,
"2018",大同市,12251700,,,
"2019",大同市,13041000,,,
"2020",大同市,13780000,,,
"2021",大同市,16521000,,,
"2022",大同市,17909000,,,
"2012",阳泉市,5757200,,,
"2013",阳泉市,5824300,,,
"2014",阳泉市,5857700,,,
