year,city,population,corridor_id,corridor_nm,node_type
"2012",北京市,"1297.5",KG,Beijing-Guangzhou,core
"2013",北京市,"1316.3",KG,Beijing-Guangzhou,core
"2014",北京市,"1333.4",KG,Beijing-Guangzhou,core
"2015",北京市,"1345.2",KG,Beijing-Guangzhou,core
"2016",北京市,"1363",KG,Beijing-Guangzhou,core
"2017",北京市,"1359",KG,Beijing-Guangzhou,core
"2018",北京市,"1376",KG,Beijing-Guangzhou,core
"2019",北京市,"1397",KG,Beijing-Guangzhou,core
"2020",北京市,,KG,Beijing-Guangzhou,core
"2021",北京市,"1414",KG,Beijing-Guangzhou,core
"2022",北京市,"1428",KG,Beijing-Guangzhou,core
"2012",石家庄市,"1005.3",KG,Beijing-Guangzhou,core
"2013",石家庄市,"1003.2",KG,Beijing-Guangzhou,core
"2014",石家庄市,"1024.9",KG,Beijing-Guangzhou,core
"2015",石家庄市,"1028.84",KG,Beijing-Guangzhou,core
"2016",石家庄市,"1038",KG,Beijing-Guangzhou,core
"2017",石家庄市,"973",KG,Beijing-Guangzhou,core
"2018",石家庄市,"982",KG,Beijing-Guangzhou,core
"2019",石家庄市,"1052",KG,Beijing-Guangzhou,core
"2020",石家庄市,,KG,Beijing-Guangzhou,core
"2021",石家庄市,"1051",KG,Beijing-Guangzhou,core
"2022",石家庄市,"1054",KG,Beijing-Guangzhou,core
"2012",邯郸市,"993.1",KG,Beijing-Guangzhou,middle
"2013",邯郸市,"994",KG,Beijing-Guangzhou,middle
"2014",邯郸市,"1029.5",KG,Beijing-Guangzhou,middle
"2015",邯郸市,"1049.7",KG,Beijing-Guangzhou,middle
"2016",邯郸市,"1055",KG,Beijing-Guangzhou,middle
"2017",邯郸市,"1051",KG,Beijing-Guangzhou,middle
"2018",邯郸市,"1058",KG,Beijing-Guangzhou,middle
"2019",邯郸市,"1061",KG,Beijing-Guangzhou,middle
"2020",邯郸市,,KG,Beijing-Guangzhou,middle
"2021",邯郸市,"1061",KG,Beijing-Guangzhou,middle
"2022",邯郸市,"1064",KG,Beijing-Guangzhou,middle
"2012",邢台市,"747.7",KG,Beijing-Guangzhou,middle
"2013",邢台市,"762.9",KG,Beijing-Guangzhou,middle
"2014",邢台市,"772.9",KG,Beijing-Guangzhou,middle
"2015",邢台市,"780.39",KG,Beijing-Guangzhou,middle
"2016",邢台市,"788",KG,Beijing-Guangzhou,middle
"2017",邢台市,"790",KG,Beijing-Guangzhou,middle
"2018",邢台市,"797",KG,Beijing-Guangzhou,middle
"2019",邢台市,"801",KG,Beijing-Guangzhou,middle
"2020",邢台市,,KG,Beijing-Guangzhou,middle
"2021",邢台市,"800",KG,Beijing-Guangzhou,middle
"2022",邢台市,"802",KG,Beijing-Guangzhou,middle
"2012",保定市,"1172.1",KG,Beijing-Guangzhou,middle
"2013",保定市,"1163.9",KG,Beijing-Guangzhou,middle
"2014",保定市,"1196.6",KG,Beijing-Guangzhou,middle
"2015",保定市,"1202.19",KG,Beijing-Guangzhou,middle
"2016",保定市,"1207",KG,Beijing-Guangzhou,middle
"2017",保定市,"1199",KG,Beijing-Guangzhou,middle
"2018",保定市,"1208",KG,Beijing-Guangzhou,middle
"2019",保定市,"1215",KG,Beijing-Guangzhou,middle
"2020",保定市,,KG,Beijing-Guangzhou,middle
"2021",保定市,"1208",KG,Beijing-Guangzhou,middle
"2022",保定市,"1211",KG,Beijing-Guangzhou,middle
"2012",上海市,"1426.9",HNH,Shanghai-Nanjing-Hangzhou,core
"2013",上海市,"1432.3",HNH,Shanghai-Nanjing-Hangzhou,core
