city,corridor_id,corridor_nm,node_type,year,gdp_value,population_value,ntl_value,gdp_index,population_index,ntl_index
内江市,CY,Chengdu-Chongqing,middle,2012,8778330,426.6,693,100,100,100
内江市,CY,Chengdu-Chongqing,middle,2013,9151108,426.8,2272,104.25,100.05,327.85
内江市,CY,Chengdu-Chongqing,middle,2014,9738558,426,2323,110.94,99.86,335.21
内江市,CY,Chengdu-Chongqing,middle,2015,10180017,420.43,2450,115.97,98.55,353.54
内江市,CY,Chengdu-Chongqing,middle,2016,10864330,420,3009,123.76,98.45,434.2
内江市,CY,Chengdu-Chongqing,middle,2017,11821130,415,3195,134.66,97.28,461.04
内江市,CY,Chengdu-Chongqing,middle,2018,13188316,412,3801,150.24,96.58,548.48
内江市,CY,Chengdu-Chongqing,middle,2019,14123944,408,4409,160.9,95.64,636.22
内江市,CY,Chengdu-Chongqing,middle,2020,14444861,0,4975,164.55,0,717.89
内江市,CY,Chengdu-Chongqing,middle,2021,16055299,403,5019,182.9,94.47,724.24
内江市,CY,Chengdu-Chongqing,middle,2022,16569530,399,5115,188.75,93.53,738.1
成都市,CY,Chengdu-Chongqing,core,2012,86196046,1173.3,17081,100,100,100
成都市,CY,Chengdu-Chongqing,core,2013,94506619,1188,35096,109.64,101.25,205.47
成都市,CY,Chengdu-Chongqing,core,2014,103684342,1210.7,32372,120.29,103.19,189.52
成都市,CY,Chengdu-Chongqing,core,2015,106623102,1228.05,28820,123.7,104.67,168.73
成都市,CY,Chengdu-Chongqing,core,2016,118740730,1399,34793,137.76,119.24,203.69
成都市,CY,Chengdu-Chongqing,core,2017,139313866,1435,36498,161.62,122.3,213.68
成都市,CY,Chengdu-Chongqing,core,2018,156989426,1476,39037,182.13,125.8,228.54
成都市,CY,Chengdu-Chongqing,core,2019,170106620,1500,42181,197.35,127.84,246.95
成都市,CY,Chengdu-Chongqing,core,2020,178380035,0,40979,206.95,0,239.91
成都市,CY,Chengdu-Chongqing,core,2021,199623149,1556,42272,231.59,132.62,247.48
成都市,CY,Chengdu-Chongqing,core,2022,207893793,1572,40688,241.19,133.98,238.21
资阳市,CY,Chengdu-Chongqing,middle,2012,4700400,505.9,519,100,100,100
资阳市,CY,Chengdu-Chongqing,middle,2013,5075100,507.3,1427,107.97,100.28,274.95
资阳市,CY,Chengdu-Chongqing,middle,2014,5370900,507.3,1710,114.26,100.28,329.48
资阳市,CY,Chengdu-Chongqing,middle,2015,5727600,503.68,1367,121.85,99.56,263.39
资阳市,CY,Chengdu-Chongqing,middle,2016,6438400,355,2014,136.98,70.17,388.05
资阳市,CY,Chengdu-Chongqing,middle,2017,6885400,349,1974,146.49,68.99,380.35
资阳市,CY,Chengdu-Chongqing,middle,2018,7286300,346,2757,155.01,68.39,531.21
资阳市,CY,Chengdu-Chongqing,middle,2019,7773700,342,3367,165.38,67.6,648.75
资阳市,CY,Chengdu-Chongqing,middle,2020,8075000,0,3801,171.79,0,732.37
资阳市,CY,Chengdu-Chongqing,middle,2021,8905000,337,4575,189.45,66.61,881.5
资阳市,CY,Chengdu-Chongqing,middle,2022,9451100,333,5660,201.07,65.82,1090.56
重庆市,CY,Chengdu-Chongqing,core,2012,115953700,3343.4,17361,100,100,100
重庆市,CY,Chengdu-Chongqing,core,2013,130276000,3358.4,21273,112.35,100.45,122.53
重庆市,CY,Chengdu-Chongqing,core,2014,146237800,3375.2,20340,126.12,100.95,117.16
