corridor_id,corridor_nm,year,population_value
CY,Chengdu-Chongqing,"2012","5449.2"
CY,Chengdu-Chongqing,"2013","5480.5"
CY,Chengdu-Chongqing,"2014","5519.2"
CY,Chengdu-Chongqing,"2015","5524"
CY,Chengdu-Chongqing,"2016","5566"
CY,Chengdu-Chongqing,"2017","5589"
CY,Chengdu-Chongqing,"2018","5638"
CY,Chengdu-Chongqing,"2019","5666"
CY,Chengdu-Chongqing,"2020","0"
CY,Chengdu-Chongqing,"2021","5711"
CY,Chengdu-Chongqing,"2022","5718"
GS,Guangzhou-Shenzhen,"2012","1296.9"
GS,Guangzhou-Shenzhen,"2013","1331.7"
GS,Guangzhou-Shenzhen,"2014","1366"
GS,Guangzhou-Shenzhen,"2015","1404.19"
GS,Guangzhou-Shenzhen,"2016","1456"
GS,Guangzhou-Shenzhen,"2017","1544"
GS,Guangzhou-Shenzhen,"2018","1615"
GS,Guangzhou-Shenzhen,"2019","1756"
GS,Guangzhou-Shenzhen,"2020","0"
GS,Guangzhou-Shenzhen,"2021","1922"
GS,Guangzhou-Shenzhen,"2022","1985"
HNH,Shanghai-Nanjing-Hangzhou,"2012","5611.6"
HNH,Shanghai-Nanjing-Hangzhou,"2013","5641.7"
HNH,Shanghai-Nanjing-Hangzhou,"2014","5684.9"
HNH,Shanghai-Nanjing-Hangzhou,"2015","5717.84"
HNH,Shanghai-Nanjing-Hangzhou,"2016","5776"
HNH,Shanghai-Nanjing-Hangzhou,"2017","5852"
HNH,Shanghai-Nanjing-Hangzhou,"2018","5926"
HNH,Shanghai-Nanjing-Hangzhou,"2019","6005"
HNH,Shanghai-Nanjing-Hangzhou,"2020","0"
HNH,Shanghai-Nanjing-Hangzhou,"2021","6164"
HNH,Shanghai-Nanjing-Hangzhou,"2022","6215"
KG,Beijing-Guangzhou,"2012","13893.5"
KG,Beijing-Guangzhou,"2013","13767.9"
KG,Beijing-Guangzhou,"2014","14007.6"
KG,Beijing-Guangzhou,"2015","13995.11"
KG,Beijing-Guangzhou,"2016","14146"
KG,Beijing-Guangzhou,"2017","14122"
KG,Beijing-Guangzhou,"2018","14268"
KG,Beijing-Guangzhou,"2019","14430"
KG,Beijing-Guangzhou,"2020","0"
KG,Beijing-Guangzhou,"2021","14492"
KG,Beijing-Guangzhou,"2022","14528"
