corridor_id,corridor_nm,year,gdp_value,population_value,ntl_value,gdp_index,population_index,ntl_index
CY,Chengdu-Chongqing,"2012",215628476,5449.2,49705,100,100,100
CY,Chengdu-Chongqing,"2013",239008827,5480.5,100643,110.84,100.57,202.48
CY,Chengdu-Chongqing,"2014",265031600,5519.2,96566,122.91,101.28,194.28
CY,Chengdu-Chongqing,"2015",282936119,5524,92342,131.21,101.37,185.78
CY,Chengdu-Chongqing,"2016",316273860,5566,111501,146.68,102.14,224.33
CY,Chengdu-Chongqing,"2017",358683296,5589,116041,166.34,102.57,233.46
CY,Chengdu-Chongqing,"2018",393352042,5638,130168,182.42,103.46,261.88
CY,Chengdu-Chongqing,"2019",428061964,5666,141718,198.52,103.98,285.12
CY,Chengdu-Chongqing,"2020",451314196,0,143983,209.3,0,289.68
CY,Chengdu-Chongqing,"2021",505356248,5711,158011,234.36,104.8,317.9
CY,Chengdu-Chongqing,"2022",519675423,5718,167984,241.01,104.93,337.96
GS,Guangzhou-Shenzhen,"2012",318811600,1296.9,151511,100,100,100
GS,Guangzhou-Shenzhen,"2013",360250800,1331.7,201480,113,102.68,132.98
GS,Guangzhou-Shenzhen,"2014",391061300,1366,202848,122.66,105.33,133.88
GS,Guangzhou-Shenzhen,"2015",424495500,1404.19,203839,133.15,108.27,134.54
GS,Guangzhou-Shenzhen,"2016",465063900,1456,191514,145.87,112.27,126.4
GS,Guangzhou-Shenzhen,"2017",512311400,1544,215671,160.69,119.05,142.35
GS,Guangzhou-Shenzhen,"2018",550866300,1615,227207,172.79,124.53,149.96
GS,Guangzhou-Shenzhen,"2019",603114500,1756,238392,189.18,135.4,157.34
GS,Guangzhou-Shenzhen,"2020",625845400,0,253110,196.31,0,167.06
GS,Guangzhou-Shenzhen,"2021",699770000,1922,292834,219.49,148.2,193.28
GS,Guangzhou-Shenzhen,"2022",726894300,1985,291041,228,153.06,192.09
HNH,Shanghai-Nanjing-Hangzhou,"2012",734818619,5611.6,303262,100,100,100
HNH,Shanghai-Nanjing-Hangzhou,"2013",800979463,5641.7,512845,109,100.54,169.11
HNH,Shanghai-Nanjing-Hangzhou,"2014",864292478,5684.9,485115,117.62,101.31,159.97
HNH,Shanghai-Nanjing-Hangzhou,"2015",922460510,5717.84,497129,125.54,101.89,163.93
HNH,Shanghai-Nanjing-Hangzhou,"2016",1006023937,5776,512128,136.91,102.93,168.87
HNH,Shanghai-Nanjing-Hangzhou,"2017",1114427240,5852,569428,151.66,104.28,187.77
HNH,Shanghai-Nanjing-Hangzhou,"2018",1212854268,5926,585971,165.05,105.6,193.22
HNH,Shanghai-Nanjing-Hangzhou,"2019",1291696803,6005,606650,175.78,107.01,200.04
HNH,Shanghai-Nanjing-Hangzhou,"2020",1370514451,0,633306,186.51,0,208.83
HNH,Shanghai-Nanjing-Hangzhou,"2021",1558208629,6164,676480,212.05,109.84,223.07
HNH,Shanghai-Nanjing-Hangzhou,"2022",1622407788,6215,695607,220.79,110.75,229.37
KG,Beijing-Guangzhou,"2012",642018668,13893.5,226563,100,100,100
KG,Beijing-Guangzhou,"2013",708760777,13767.9,357050,110.4,99.1,157.59
KG,Beijing-Guangzhou,"2014",771622296,14007.6,362207,120.19,100.82,159.87
KG,Beijing-Guangzhou,"2015",831139610,13995.11,368717,129.46,100.73,162.74
KG,Beijing-Guangzhou,"2016",904451540,14146,384088,140.88,101.82,169.53
KG,Beijing-Guangzhou,"2017",995787177.26,14122,444288,155.1,101.64,196.1
KG,Beijing-Guangzhou,"2018",1091921546,14268,480454,170.08,102.7,212.06
KG,Beijing-Guangzhou,"2019",1179926414.9,14430,538679,183.78,103.86,237.76
KG,Beijing-Guangzhou,"2020",1226654125,0,563880,191.06,0,248.88
KG,Beijing-Guangzhou,"2021",1368523732,14492,633412,213.16,104.31,279.57
KG,Beijing-Guangzhou,"2022",1418429644,14528,661494,220.93,104.57,291.97
