city,city_code,province,tier_group,tier_label,ntl_growth_rate,gdp_growth_rate,population_growth_rate,growth_intensity,growth_efficiency,coordination_index,edu_count,medical_count,commercial_count,support_index
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,0.1256,-0.1024,-0.1991,-0.0586333333333333,0.514314414866901,0.7307,"0","1","12","1.08603217934049"
三亚市,"460000000000",海南省,T3,Third-tier Cities,0.6929,1.6682,0.274,0.878366666666667,6.08832116788321,0.3876,"13","43","720","4.33462870027282"
三明市,"350000000000",福建省,T3,Third-tier Cities,1.09,1.1822,0.043,0.771733333333333,27.493023255814,0.4069,"1","0","6","0.87968577653842"
三沙市,"460000000000",海南省,T3,Third-tier Cities,,,-1,,,,"1","0","6","0.87968577653842"
三门峡市,"411000000000",河南省,T3,Third-tier Cities,1.524,0.7645,-0.0049,0.7612,,0.3949,"1","0","6","0.87968577653842"
上海市,"310000000000",上海市,T1,Super-tier Cities,0.3836,1.2808,0.054,0.5728,23.7185185185185,0.4139,"123","256","6580","6.38709987965213"
上饶市,"361000000000",江西省,T3,Third-tier Cities,3.5289,1.5753,0.0391,1.71443333333333,40.2890025575448,0.216,"11","16","80","3.23752304950555"
东莞市,"442000000000",广东省,T2,Second-tier Cities,0.8766,1.1918,0.5615,0.876633333333333,2.12252894033838,0.6134,"6","4","160","2.87891747549129"
东营市,"371000000000",山东省,T3,Third-tier Cities,0.646,0.751,0.0674,0.488133333333333,11.1424332344214,0.543,"2","2","21","1.76275567689818"
中卫市,"641000000000",宁夏回族自治区,T3,Third-tier Cities,1.8087,1.1357,0.0167,0.987033333333333,,0.3401,"5","0","14","1.49993655677676"
中山市,"442000000000",广东省,T3,Third-tier Cities,0.7823,0.5748,0.3684,0.575166666666667,1.56026058631922,0.7071,"39","17","178","3.92221233928362"
临夏回族自治州,"623000000000",甘肃省,T3,Third-tier Cities,1.0664,,,,,,"9","3","36","2.43326578891939"
临汾市,"141000000000",山西省,T3,Third-tier Cities,2.1568,1.02,0.0066,1.06113333333333,,0.3133,"1","1","10","1.26139654463942"
临沂市,"371000000000",山东省,T3,Third-tier Cities,1.9558,1.0118,0.1035,1.0237,9.77584541062802,0.3491,"17","21","141","3.64574708961858"
临沧市,"531000000000",云南省,T3,Third-tier Cities,1.4688,1.9358,0.0237,1.14276666666667,81.6793248945148,0.3088,"0","1","13","1.11073483672507"
丹东市,"211000000000",辽宁省,T3,Third-tier Cities,1.0252,0.4193,-0.0561,0.4628,-7.47415329768271,0.4706,"1","1","14","1.3647815207407"
丽水市,"331000000000",浙江省,T3,Third-tier Cities,1.5893,1.1714,0.0244,0.928366666666667,48.0081967213115,0.3561,"1","5","84","2.30918596875944"
丽江市,"531000000000",云南省,T3,Third-tier Cities,0.5111,1.9217,0.042,0.824933333333333,45.7547619047619,0.3131,"4","5","360","3.09669177999834"
乌兰察布市,"151000000000",内蒙古自治区,T3,Third-tier Cities,1.034,0.3624,-0.0906,0.435266666666667,-4,0.4551,"1","0","6","0.87968577653842"
乌海市,"150000000000",内蒙古自治区,T3,Third-tier Cities,0.1183,1.3518,-0.1971,0.424333333333333,-6.85844748858447,0.3503,"4","2","7","1.59583058092735"
乌鲁木齐市,"650000000000",新疆维吾尔自治区,T2,Second-tier Cities,0.0417,1.1539,-0.0729,0.374233333333333,-15.8285322359396,0.3907,"12","69","359","4.23318287698702"
乐山市,"511000000000",四川省,T3,Third-tier Cities,5.365,1.3339,-0.0256,2.22443333333333,-52.10546875,0.1373,"1","1","82","1.93504498963883"
九江市,"360000000000",江西省,T3,Third-tier Cities,6.0134,1.5025,0.0263,2.51406666666667,57.1292775665399,0.125,"21","18","240","3.8400927886718"
云浮市,"445000000000",广东省,T3,Third-tier Cities,1.9707,1.2383,0.0488,1.08593333333333,25.375,0.3253,"6","3","14","2.01341823709247"
亳州市,"342000000000",安徽省,T3,Third-tier Cities,3.4893,1.7308,0.0953,1.7718,18.1615949632739,0.2255,"0","0","1","0.231049060186648"
伊春市,"231000000000",黑龙江省,T3,Third-tier Cities,-0.3969,0.422,-0.1454,-0.0401,-2.90233837689133,0.5197,"2","0","0","0.366204096222703"
伊犁哈萨克自治州,"654000000000",新疆维吾尔自治区,T3,Third-tier Cities,1.4055,,,,,,"0","2","22","1.41136883486575"
佛山市,"441000000000",广东省,T2,Second-tier Cities,1.0525,0.9111,0.3106,0.758066666666667,2.93335479716677,0.5277,"70","90","1648","5.39382123537259"
佳木斯市,"231000000000",黑龙江省,T3,Third-tier Cities,0.2402,0.3201,-0.0556,0.168233333333333,-5.75719424460432,0.6908,"0","0","3","0.462098120373297"
保定市,"131000000000",河北省,T3,Third-tier Cities,1.125,0.6936,0.0332,0.617266666666667,20.8915662650602,0.4612,"18","34","338","4.1085957160121"
保山市,"531000000000",云南省,T3,Third-tier Cities,2.9976,2.023,0.0368,1.6858,54.9728260869565,0.2327,"6","39","196","3.63933111063575"
信阳市,"412000000000",河南省,T3,Third-tier Cities,2.2568,1.2952,0.0594,1.2038,21.8047138047138,0.3041,"0","1","24","1.30400766847605"
儋州市,"460000000000",海南省,T3,Third-tier Cities,1.8596,3.9417,,,,,"3","0","0","0.462098120373297"
克孜勒苏柯尔克孜自治州,"653000000000",新疆维吾尔自治区,T3,Third-tier Cities,5.4953,,,,,,"1","0","0","0.231049060186648"
克拉玛依市,"650000000000",新疆维吾尔自治区,T3,Third-tier Cities,-0.1517,0.4655,-0.1489,0.0549666666666667,-3.12625923438549,0.5491,"1","0","7","0.924196240746594"
六安市,"342000000000",安徽省,T3,Third-tier Cities,5.138,1.4052,-0.1806,2.12086666666667,-7.78073089700997,0.1422,"3","0","7","1.15524530093324"
