city,city_code,province,tier_group,tier_label,year,ntl_value,ntl_index,gdp_value,gdp_index,population_value,population_index
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2012",2405,100,2989100,100,92.4,100
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2013",1692,70.35,2286100,76.48,92,99.57
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2014",1378,57.3,2142600,71.68,88.2,95.45
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2015",1356,56.38,1900900,63.59,83.11,89.95
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2016",1440,59.88,1935400,64.75,80,86.58
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2017",1637,68.07,2044200,68.39,79,85.5
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2018",2027,84.28,2255400,75.45,78,84.42
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2019",2466,102.54,2191200,73.31,77,83.33
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2020",2397,99.67,2043700,68.37,0,0
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2021",1755,72.97,2354800,78.78,75,81.17
七台河市,"231000000000",黑龙江省,T3,Third-tier Cities,"2022",2707,112.56,2683000,89.76,74,80.09
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2012",4080,100,3248228,100,57.3,100
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2013",5373,131.69,3658868,112.64,57.7,100.7
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2014",5629,137.97,4022558,123.84,58.6,102.27
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2015",5978,146.52,4411933,135.83,57.78,100.84
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2016",6223,152.52,4930618,151.79,58,101.22
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2017",5919,145.07,5460998,168.12,59,102.97
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2018",6519,159.78,6222669,191.57,61,106.46
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2019",6591,161.54,6891362,212.16,63,109.95
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2020",6616,162.16,7088971,218.24,0,0
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2021",7439,182.33,8511401,262.03,71,123.91
三亚市,"460000000000",海南省,T3,Third-tier Cities,"2022",6907,169.29,8666949,266.82,73,127.4
三明市,"350000000000",福建省,T3,Third-tier Cities,"2012",1433,100,13680100,100,274.2,100
三明市,"350000000000",福建省,T3,Third-tier Cities,"2013",1796,125.33,15334700,112.09,278.5,101.57
三明市,"350000000000",福建省,T3,Third-tier Cities,"2014",1788,124.77,16837600,123.08,284,103.57
三明市,"350000000000",福建省,T3,Third-tier Cities,"2015",1899,132.52,17129900,125.22,284.12,103.62
三明市,"350000000000",福建省,T3,Third-tier Cities,"2016",1795,125.26,19389800,141.74,287,104.67
三明市,"350000000000",福建省,T3,Third-tier Cities,"2017",2155,150.38,21438300,156.71,288,105.03
三明市,"350000000000",福建省,T3,Third-tier Cities,"2018",2181,152.2,23544000,172.1,289,105.4
三明市,"350000000000",福建省,T3,Third-tier Cities,"2019",2342,163.43,26015600,190.17,289,105.4
